text,label,spam_categories,target_Bank Scam,target_Gambling,target_General Spam,target_Phishing,cleaned_text,nb_label
"Greetings from BDO, as part of our continuous effort to bring you the best online banking services, we request that you verify your account information to continuously access mobile banking and receive an OTP. Proceed to online.my-bdo-recovery.uk Failure to do so will result in an account suspension.",Bank Scam,['Bank Scam'],1,0,0,0,greeting bdo part our continuous effort bring you best online banking service we request you verify your account information continuously access mobile banking receive otp proceed onlinemybdorecoveryuk failure result account suspension,Spam
ang anghang nung nabili kong ulam,Ham,[],0,0,0,0,anghang nung nabili kong ulam,Ham
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",General Spam,['General Spam'],0,0,1,0,orange brings you ringtones all time chart hero free hit weeki go ringtones pic wap stop receiving tip reply stop,Spam
Verify your MAYA mobile number to avoid account deletion. Update here: bit.ly/secure-ph-590037,Bank Scam,['Bank Scam'],1,0,0,0,verify your maya mobile number avoid account deletion update here urllink,Spam
Your luck is shining! Grab free bonus from 100 to 2000 & Win 18888 Prize at SugarPlay . Join us now at sp7go.com for even more amazing promotions!,General Spam,['General Spam'],0,0,1,0,your luck shiningi grab free bonus ioo ooo win ibbbb prize sugarplay join u now sptgocom even more amazing promotionsi,Spam
I am waiting machan. Call me once you free.,Ham,[],0,0,0,0,waiting machan call you free,Ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,General Spam,['General Spam'],0,0,1,0,urgenti your mobile number awarded ooo prize guaranteed call ogogitgoii land line claim eoeo valid ihrs only isoppm,Spam
"Ask g or iouri, I've told the story like ten times already",Ham,[],0,0,0,0,ask g iouri ive told story like ten time already,Ham
"Lots available at the AlabangWest Village, an exclusive subdivision across Ayala Alabang Village and beside Landers Superstore Alabang:    1) 506 sqm  - central location; near the clubhouse    2) 357 sqm  - near the main gate    3 years installment without interest!    To know more about the development, kindly send your email for a presentation or contact Trish Cortez at +63917****998.",General Spam,['General Spam'],0,0,1,0,lot available alabangwest village exclusive subdivision across ayala alabang village beside lander superstore alabang sog sqm central location near clubhouse est sqm near main gate e year installment without interesti know more development kindly send your email presentation contact trish cortez tgegitggb,Spam
Netflix PH: Your membership is on hold. Update payment to continue: bit.ly/secure-ph-765109,Phishing,['Phishing'],0,0,0,1,netflix ph your membership hold update payment continue urllink,Spam
Apple ID: Someone logged in from Cebu. Secure account: bit.ly/secure-ph-526045,Phishing,['Phishing'],0,0,0,1,apple id someone logged cebu secure account urllink,Spam
"Hello everyone, I'm glad to be part of the team.",Ham,[],0,0,0,0,hello everyone im glad part team,Ham
Log in at forward sa FB para makakuha ng P38 ng libre  cj78s.loan,General Spam,['General Spam'],0,0,1,0,log forward fb makakuha peb libre cjtbsloan,Spam
"Hype up your day with rewards! Download the app and join Globe Rewards by tapping REDEEM REWARDS and JOIN NOW to earn points for every promo registration using the app. Start earning and get 1 FREE point. Search for UNLOCK your FREE 1 Rewards point in the Rewards section of the app until June 30, 2025. REF# LS",Ham,[],0,0,0,0,hype your day rewardsi download app join globe reward tapping redeem reward join now earn point every promo registration using app start earning get free point search unlock your free reward point reward section app june eo o ref l,Ham
"Security Bank Alert: May login attempt mula sa bagong device. Kung hindi ikaw ito, i-secure ang account: bdo-secure-login.xyz",Bank Scam,['Bank Scam'],1,0,0,0,security bank alert may login attempt mula bagong device hindi ikaw isecure account bdosecureloginxyz,Spam
747LIVE: Daily 50 pesos free! Register na and start winning. Laro na d2: wa.me/63912345678,Gambling,['Gambling'],0,1,0,0,tatlive daily peso freei register start winning laro wamegegieasgtb,Spam
"Magparehistro para makakuha ng 7777, tumaya araw-araw:‚ÄÄslots9.auction/F20","Bank Scam, Gambling","['Bank Scam', 'Gambling']",1,1,0,0,magparehistro makakuha tttt tumaya arawarawääslotsgauctionfo,Spam
WINNER! Chosen ur cell # for P100k Lazada Anniversary anniversary promo. Call now: 09177778888,"Gambling, Phishing","['Gambling', 'Phishing']",0,1,0,1,winneri chosen ur cell piook lazada anniversary anniversary promo call now ogittttbbbb,Spam
Paki send yung link ng meeting,Ham,[],0,0,0,0,paki send link meeting,Ham
"Greetings from BDO, as part of our continuous effort to bring you the best online banking services, we request that you verify your account information to continuously access mobile banking and receive an OTP. Proceed to online.mybdo-recovery.uk Failure to do so will result in an account suspension.",Bank Scam,['Bank Scam'],1,0,0,0,greeting bdo part our continuous effort bring you best online banking service we request you verify your account information continuously access mobile banking receive otp proceed onlinemybdorecoveryuk failure result account suspension,Spam
Netflix PH: Your subscription is on hold. Update billing to avoid interruption: bit.ly/update-ph-2025,Phishing,['Phishing'],0,0,0,1,netflix ph your subscription hold update billing avoid interruption urllink,Spam
New Player Free 2570P! PAGCOR Licensed! Official Jili!Cashout 10 Min! Play in GCash PlayZoneph3.tv,"Bank Scam, Gambling","['Bank Scam', 'Gambling']",1,1,0,0,new player free stopi pagcor licensedi official jiliicashout io mini play gcash playzonephetv,Spam
ubos na pala yung kape natin,Ham,[],0,0,0,0,ubos pala kape natin,Ham
You have received P2101.77 GCash from 7eleven Kiosk w/ MSG - 2416-8040-5014. Your new balance is P2110.43 06-16-24 4:41PM. Ref no. 0018385379797.,Ham,[],0,0,0,0,you received pioitt gcash televen kiosk w msg aigboaosoia your new balance piioae ogiga aaipm ref no ooibebsetgtgt,Ham
Wala kang outstanding utang ngayon. Kulang ang load? Pwede kang humiram ng load o promo sa GlobeOne via glbe.co/GlobeOne na may LOWEST SERVICE FEES! I-search lang ang LOAN. No data charges will apply kapag ginamit ang app,Ham,[],0,0,0,0,wala kang outstanding utang ngayon kulang load pwede kang humiram load promo globeone via glbecoglobeone may lowest service feesi isearch loan no data charge apply kapag ginamit app,Ham
Good day! Im recruiter from Shopee. Your resume is qualified for 5k/day job. Click to apply: bdo-secure-login.xyz,Bank Scam,['Bank Scam'],1,0,0,0,good dayi im recruiter shopee your resume qualified skday job click apply bdosecureloginxyz,Spam
BDO-WARNING:    A suspicious login was detected from your account. Visit: mybdoaccess.me/reset to change your information now.,Bank Scam,['Bank Scam'],1,0,0,0,bdowarning suspicious login detected your account visit mybdoaccessmereset change your information now,Spam
Withdraw your winnings in 2 mins! Join BINGOPLUS now and get 226 free: bit.ly/secure-ph-778539,Gambling,['Gambling'],0,1,0,0,withdraw your winning minsi join bingoplus now get g free urllink,Spam
sige po i foforward ko na lang,Ham,[],0,0,0,0,sige foforward,Ham
"15K BONUS AGAD? PALDO KUNG PALDO DITO! iPhone, MacBook, at marami pang Bonggang Prizes na pwedeng makuha! Play na sa PAGCOR Accredited free.king.ph/PALDO15K",Gambling,['Gambling'],0,1,0,0,isk bonus agad paldo paldo ditoi iphone macbook marami pang bonggang prize pwedeng makuhai play pagcor accredited freekingphpaldoisk,Spam
Ano daw sabi ni client,Ham,[],0,0,0,0,daw sabi ni client,Ham
"<REAL NAME>, Level up your wins at GOJACKPOT with a 3% GCash deposit bonus! Don't miss out on this amazing offer. jpcbet2.com","Bank Scam, Gambling","['Bank Scam', 'Gambling']",1,1,0,0,real name level your win gojackpot e gcash deposit bonusi dont miss amazing offer jpcbetcom,Spam
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,Ham,[],0,0,0,0,jus reached home go bathe first si using net tell u finish k,Ham
GrabExpress: Failed delivery attempt. Your package is held at warehouse. Pay fee to redeliver: tinyurl.com/win-today-ph,Phishing,['Phishing'],0,0,0,1,grabexpress failed delivery attempt your package held warehouse pay fee redeliver urllink,Spam
PCSO: Lucky number mo nanalo ng P100k! Tawagan si Secretary Gomez 09782666979.,General Spam,['General Spam'],0,0,1,0,pcso lucky number nanalo piooki tawagan si secretary gomez ogtbggggtg,Spam
"GCASH: Your account is temporarily on-hold, due to security purposes. Kindly verify here https://mub.me/AppsGCashLogin",Bank Scam,['Bank Scam'],1,0,0,0,gcash your account temporarily onhold due security purpose kindly verify here urllink,Spam
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",Ham,[],0,0,0,0,arngd marriage u r walkin unfortuntly snake bite u bt love marriage dancing frnt snake amp sayin bite bite,Ham
Gumawa na lang kayo ng bagong gc,Ham,[],0,0,0,0,gumawa bagong gc,Ham
Sira ba lrt ngayon,Ham,[],0,0,0,0,sira lrt ngayon,Ham
Work from home! Facebook Affiliate online tasks. P648 per order. Msg us: wa.me/639331177451,Phishing,['Phishing'],0,0,0,1,work homei facebook affiliate online task pgab per order msg u wamegegeeiittasi,Spam
MAYA-Gift: Open your gift box today and win prizes: maya-gift-raffle.ph,Bank Scam,['Bank Scam'],1,0,0,0,mayagift open your gift box today win prize mayagiftraffleph,Spam
pakainin mo na yung pusa,Ham,[],0,0,0,0,pakainin pusa,Ham
You have received P396.00 GCash from 7eleven Kiosk w/ MSG - 2421-5046-9543. Your new balance is P429.87 08-02-24 5:42PM. Ref no. 0019652337153.,Ham,[],0,0,0,0,you received peggoo gcash televen kiosk w msg aisoaggsae your new balance pagbt oboa sapm ref no ooiggseetise,Ham
"It's not too late to claim your FREEBIE of 350MB for surfing, valid for 3 days. Simply load at least P50 one time by 01/31/2024. If you've already claimed your freebie, please disregard this message. REF#: FGRN17",Ham,[],0,0,0,0,not late claim your freebie esomb surfing valid e day simply load least pso one time oieioa youve already claimed your freebie please disregard message ref fgrnit,Ham
Laro na sa 188BET! Get Free 100 credits pag nag-register today. Link d2: bit.ly/secure-ph-913930,Gambling,['Gambling'],0,1,0,0,laro ibbbeti get free ioo credit pag nagregister today link urllink,Spam
Checking your GigaPoints validity is easy! Just go to smrt.ph/GigaLifeApp > Tap the Points Gift icon > Hit View Breakdown. It's Simple in the GigaLife App.,Ham,[],0,0,0,0,checking your gigapoints validity easyi just go smrtphgigalifeapp tap point gift icon hit view breakdown simple gigalife app,Ham
"COINS ALERT: You are attempting to SEND FUNDS from your Coins Wallet. Use this code to confirm: 056918. If you did not make this request, email report@coins.ph.",Ham,[],0,0,0,0,coin alert you attempting send fund your coin wallet use code confirm osggib you not make request email reportacoinsph,Ham
Meron ka nang 30MB INTERNET. Babawasan ka ng P8 sa next reload mo. Thank you. LOAN ID: 23119212390 Ref: <880912027394>,Ham,[],0,0,0,0,meron ka nang eomb internet babawasan ka pb next reload thank you loan id eiigiego ref bbogiotega,Ham
Laro na sa 747LIVE! Get No deposit bonus pag nag-register today. Link d2: bit.ly/secure-ph-776562,Gambling,['Gambling'],0,1,0,0,laro tatlivei get no deposit bonus pag nagregister today link urllink,Spam
"Your One-Time PIN is 356224. DO NOT SHARE THIS WITH ANYONE. If you did not request for an OTP, pls call BDO at (02)631-8000. Ref No 913103",Ham,[],0,0,0,0,your onetime pin esga not share anyone you not request otp pls call bdo cogeibooo ref no gieioe,Ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,General Spam,['General Spam'],0,0,1,0,ur cashbalance currently soo pound maximize ur cashin now send cash bggbb only isopmsg cc obtobboob hgsuiteealands rowwijghl,Spam
Double your funds at fun sa gaming with our unbeatable 100% bonus na may free red envelope. luck45.eu/7v4m,General Spam,['General Spam'],0,0,1,0,double your fund fun gaming our unbeatable ioo bonus may free red envelope luckaseutvam,Spam
"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",General Spam,['General Spam'],0,0,1,0,ur chance win cash every wk txt play beeto tscs urllink custcare obtistoso ixisopwk,Spam
WIN-PH: Jackpot is waiting! Register na & get free credits. Laro na: bit.ly/ph-20175,Gambling,['Gambling'],0,1,0,0,winph jackpot waitingi register get free credit laro urllink,Spam
"Your One-Time Password (OTP) is 651921, please enter within 5 minutes. Call BDO Customer Contact Center if you did not login to your account. Ref.No.524478",Ham,[],0,0,0,0,your onetime password cotp gsigi please enter within minute call bdo customer contact center you not login your account refnosaatb,Ham
Magkano ba yung kariman,Ham,[],0,0,0,0,magkano kariman,Ham
"Hi there! You can now enjoy better call quality with VoLTE (voice calls over Globe's LTE network) and VoWiFi (voice calls over Wi-Fi)! Make sure to update your VoLTE/VoWiFi-compatible device to the latest software and activate VoLTE and VoWiFi in your device settings. You may follow these steps: 1) Go to Settings > Mobile Network or Cellular Data Options and 2) Turn On VoLTE or WiFi calling. To know more about VoLTE and VoWiFi, visit the Globe website. Thank you and take care!",Ham,[],0,0,0,0,hi therei you now enjoy better call quality volta cvoice call globe lte network vowifi cvoice call wifii make sure update your voltevowificompatible device latest software activate volta vowifi your device setting you may follow step go setting mobile network cellular data option turn volta wifi calling know more volta vowifi visit globe website thank you take carei,Ham
#BDOStopScam: Ignore fake texts threatening account deactivation due to SIM registration. This is not a BDO directive. Don't click links to update your account.,Ham,[],0,0,0,0,bdostopscam ignore fake text threatening account deactivation due sim registration not bdo directive dont click link update your account,Ham
"Ang VIDEO ARAW-ARAW wallet mo ay may access sa YouTube, Netflix, Smart LiveStream at iWantTFC.",Ham,[],0,0,0,0,video arawaraw wallet may access youtube netflix smart livestream iwanttfc,Ham
Ready for non-stop excitement? Join now to claim your 1177p Welcome Bonus & compete for a chance to win a SAMSUNG GALAXY S23+ in Slots Tournament! GoJackpot2.eu,"Gambling, Phishing","['Gambling', 'Phishing']",0,1,0,1,ready nonstop excitement join now claim your iittp welcome bonus compete chance win samsung galaxy set slot tournamenti gojackpoteu,Spam
Globe/Smart: Redeem your unclaimed iPad Air now. Click to claim: bit.ly/secure-ph-263916,General Spam,['General Spam'],0,0,1,0,globesmart redeem your unclaimed ipad air now click claim urllink,Spam
"It's not too late to claim your FREEBIE of 350MB for surfing, valid for 3 days. Simply load a total of P50 by 08/23/2024. If you've already claimed your freebie, please disregard this message. REF#: FGRN12",Ham,[],0,0,0,0,not late claim your freebie esomb surfing valid e day simply load total pso obeoa youve already claimed your freebie please disregard message ref fgrni,Ham
May bagong task na inassign,Ham,[],0,0,0,0,may bagong task inassign,Ham
Dito na kami sa loob ng mall,Ham,[],0,0,0,0,dito loob mall,Ham
"Going abroad? You can now book your favorite data roaming promos up to 1 year in advance for worry-free travels! Change of plans? No problem! You can cancel your promo anytime before your trip for free. To pre-book your promo, open GlobeOne, select Buy Promos, and click on the Book Roaming in Advance banner. For more details, visit the Globe roaming website. No advisories? Text OFF to 2686 for free.",Ham,[],0,0,0,0,going abroad you now book your favorite data roaming promos year advance worryfree travelsi change plan no problemi you cancel your promo anytime your trip free prebook your promo open globeone select buy promos click book roaming advance banner more detail visit globe roaming website no advisory text gbg free,Ham
J&T DELIVERY!TN: 782316608472 Rider:Arthe Soriano P639058607200. For COD pls prepare exact amount. Photo proof of delivery is required. Thanks and be safe!,Ham,[],0,0,0,0,jt deliveryitn tbeiggobat riderarthe soriano pgegosbgotoo cod pls prepare exact amount photo proof delivery required thanks safei,Ham
Easy money! Like and follow for Data Encoder and get 862 daily. Apply now: wa.me/639256431395,Phishing,['Phishing'],0,0,0,1,easy moneyi like follow data encoder get bg daily apply now wamegegsgaeiegs,Spam
Tax deadline reminder: Sarado ang main road bukas para sa parade. Reply HELP for more info.,General Spam,['General Spam'],0,0,1,0,tax deadline reminder sarado main road bukas parade reply help more info,Spam
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,General Spam,['General Spam'],0,0,1,0,urgenti your mobile number awarded ooo prize guaranteed call ogosbogaasa land line claim eoeo valid ihrs only,Spam
MA'AM/SIR! EastWest iAccess needs validation due to suspicious activity: bit.ly/secure-ph-776894,Bank Scam,['Bank Scam'],1,0,0,0,maamsiri eastwest iaccess need validation due suspicious activity urllink,Spam
777PUB: Daily 50 pesos free! Register na & get free credits. Laro na: bit.ly/ph-72110,Gambling,['Gambling'],0,1,0,0,tttpub daily peso freei register get free credit laro urllink,Spam
"This is our thank you, just for you! Earn Globe Rewards points when you register to your favorite Globe Prepaid promos using GCash until September 30. Don't forget to join Globe Rewards on the GlobeOne app so you can use your points to redeem vouchers, raffle entries, and more!",Ham,[],0,0,0,0,our thank you just youi earn globe reward point you register your favorite globe prepaid promos using gcash september eo dont forget join globe reward globeone app you use your point redeem voucher raffle entry morei,Ham
Work from home! Data Encoder online tasks. P910 per order. Msg us: wa.me/639479795746,Phishing,['Phishing'],0,0,0,1,work homei data encoder online task pgio per order msg u wamegegatgtgstag,Spam
You have paid P50.00 of GCash to purchase Php 50 load for 09129094503 on 03-10-22 04:17 AM. Your GCash balance is P132.00. Ref. No. 040696408.,Ham,[],0,0,0,0,you paid psooo gcash purchase php load ogigogasoe oeio oait your gcash balance pieoo ref no oaogggaob,Ham
06/04 20:15: P50.00 loaded to 09129094503 from xxxxxxxx4921 for 1 year. Ref:BD61HHG9FR. Get MORE with PROMO LOAD in the Smart App!,Ham,[],0,0,0,0,ogoa ois psooo loaded ogigogasoe xxxxxxxxagi year refbdgihhggfr get more promo load smart appi,Ham
"The higher you save, the bigger you earn! You can now enjoy 5% p.a. interest on all your balances with no cap. PLUS 12% p.a. interest on all your ADB growth this month with no cap. T&Cs apply. Promo runs until 09/30/2023. No SMS? Text STOP to 09191602481",Ham,[],0,0,0,0,higher you save bigger you earni you now enjoy interest all your balance no cap plus interest all your adb growth month no cap tc apply promo run ogeooe no sm text stop ogigigoabi,Ham
May icebox kayo sis?? Kahit maliit lang?,Ham,[],0,0,0,0,may icebox si kahit maliit,Ham
Work from home! YouTube Liker online tasks. P92 per order. Msg us: wa.me/639255095924,Phishing,['Phishing'],0,0,0,1,work homei youtube liker online task pg per order msg u wamegegssogsga,Spam
Please make sure to save all your files before leaving.,Ham,[],0,0,0,0,please make sure save all your file leaving,Ham
Laro na sa 999BET! Get Malambot ang slots today pag nag-register today. Link d2: bit.ly/secure-ph-376438,Gambling,['Gambling'],0,1,0,0,laro gggbeti get malambot slot today pag nagregister today link urllink,Spam
naiwan ko jacket ko,Ham,[],0,0,0,0,naiwan jacket,Ham
"193017 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW",Ham,[],0,0,0,0,igeoit your authentication code your protection not share code anyone yyafcynqsw,Ham
NEVER SHARE YOUR ONE-TIME PIN. Your GOMO OTP is: 522098,Ham,[],0,0,0,0,never share your onetime pin your gomo otp sogb,Ham
"C0NGRATS! Ur number won iPhone 15 Pro from PCSO. To claim prize, pls call Atty. Reyes 09556667778. DTI#0921","Gambling, Phishing","['Gambling', 'Phishing']",0,1,0,1,congratsi ur number iphone pro pcso claim prize pls call atty reyes ogssgggtttb dtiogi,Spam
"PCSO: Lucky number mo nanalo ng 250,000 PHP! Tawagan si Secretary Lopez 09567290931.",General Spam,['General Spam'],0,0,1,0,pcso lucky number nanalo soooo phpi tawagan si secretary lopez ogsgtgogei,Spam
DITO-GIFT: Free 1GB data for 2 days. Claim your gift here: bit.ly/dito-free-data,Phishing,['Phishing'],0,0,0,1,ditogift free igb data day claim your gift here urllink,Spam
